2026-05-22 10:51:03 | INFO     | student_mgmt | REQUEST  GET /dashboard
2026-05-22 10:51:03 | WARNING  | student_mgmt | RESPONSE GET /dashboard -> 403  (2.43 ms)
2026-05-22 10:51:05 | INFO     | student_mgmt | REQUEST  GET /dashboard
2026-05-22 10:51:05 | WARNING  | student_mgmt | RESPONSE GET /dashboard -> 403  (1.87 ms)
2026-05-22 10:51:12 | INFO     | student_mgmt | REQUEST  GET /dashboard
2026-05-22 10:51:12 | WARNING  | student_mgmt | RESPONSE GET /dashboard -> 403  (2.39 ms)
2026-05-22 10:55:26 | INFO     | student_mgmt | REQUEST  GET /auth/login
2026-05-22 10:55:26 | WARNING  | student_mgmt | RESPONSE GET /auth/login -> 404  (12.83 ms)
2026-05-22 10:55:36 | INFO     | student_mgmt | REQUEST  POST /auth/login
2026-05-22 10:55:36 | INFO     | student_mgmt | Login attempt for username='string'
2026-05-22 10:55:36 | INFO     | student_mgmt | Login SUCCESS for username='string' role='student'
2026-05-22 10:55:36 | INFO     | student_mgmt | RESPONSE POST /auth/login -> 200  (379.38 ms)
2026-05-22 10:55:37 | INFO     | student_mgmt | REQUEST  POST /auth/login
2026-05-22 10:55:37 | INFO     | student_mgmt | Login attempt for username='string'
2026-05-22 10:55:38 | INFO     | student_mgmt | Login SUCCESS for username='string' role='student'
2026-05-22 10:55:38 | INFO     | student_mgmt | RESPONSE POST /auth/login -> 200  (502.25 ms)
2026-05-22 10:55:40 | INFO     | student_mgmt | REQUEST  GET /auth/login
2026-05-22 10:55:40 | WARNING  | student_mgmt | RESPONSE GET /auth/login -> 404  (9.63 ms)
2026-05-22 10:55:44 | INFO     | student_mgmt | REQUEST  GET /auth/login
2026-05-22 10:55:44 | WARNING  | student_mgmt | RESPONSE GET /auth/login -> 404  (3.94 ms)
2026-05-22 10:57:07 | INFO     | student_mgmt | REQUEST  GET /auth/login
2026-05-22 10:57:07 | WARNING  | student_mgmt | RESPONSE GET /auth/login -> 404  (2.84 ms)
2026-05-22 10:57:08 | INFO     | student_mgmt | REQUEST  GET /auth/login
2026-05-22 10:57:08 | WARNING  | student_mgmt | RESPONSE GET /auth/login -> 404  (3.73 ms)
2026-05-22 10:57:12 | INFO     | student_mgmt | REQUEST  GET /dashboard
2026-05-22 10:57:12 | WARNING  | student_mgmt | RESPONSE GET /dashboard -> 403  (2.04 ms)
2026-05-22 11:00:45 | INFO     | student_mgmt | REQUEST  GET /health
2026-05-22 11:00:45 | DEBUG    | student_mgmt | Health check called
2026-05-22 11:00:45 | INFO     | student_mgmt | RESPONSE GET /health -> 200  (3.14 ms)
2026-05-22 11:00:48 | INFO     | student_mgmt | REQUEST  GET /health
2026-05-22 11:00:48 | DEBUG    | student_mgmt | Health check called
2026-05-22 11:00:48 | INFO     | student_mgmt | RESPONSE GET /health -> 200  (3.53 ms)
2026-05-22 11:00:57 | INFO     | student_mgmt | REQUEST  GET /health
2026-05-22 11:00:57 | DEBUG    | student_mgmt | Health check called
2026-05-22 11:00:57 | INFO     | student_mgmt | RESPONSE GET /health -> 200  (35.78 ms)
2026-05-22 11:01:17 | INFO     | student_mgmt | REQUEST  GET /dashboard
2026-05-22 11:01:17 | WARNING  | student_mgmt | Token validation FAILED — invalid or expired token
2026-05-22 11:01:17 | WARNING  | student_mgmt | RESPONSE GET /dashboard -> 401  (5.27 ms)
2026-05-22 11:01:18 | INFO     | student_mgmt | REQUEST  GET /dashboard
2026-05-22 11:01:18 | WARNING  | student_mgmt | Token validation FAILED — invalid or expired token
2026-05-22 11:01:18 | WARNING  | student_mgmt | RESPONSE GET /dashboard -> 401  (5.17 ms)
2026-05-22 11:01:19 | INFO     | student_mgmt | REQUEST  GET /dashboard
2026-05-22 11:01:19 | WARNING  | student_mgmt | Token validation FAILED — invalid or expired token
2026-05-22 11:01:19 | WARNING  | student_mgmt | RESPONSE GET /dashboard -> 401  (6.04 ms)
2026-05-22 11:01:33 | INFO     | student_mgmt | REQUEST  GET /dashboard
2026-05-22 11:01:33 | WARNING  | student_mgmt | RESPONSE GET /dashboard -> 403  (2.39 ms)
2026-05-22 11:02:28 | INFO     | student_mgmt | REQUEST  GET /metrics
